Afghanistan,34.516666666666666,69.18333333333334
Akrotiri,34.666666666666664,32.85
Albania,41.31666666666667,19.816666666666666
Algeria,36.75,3.05
Andorra,42.5,1.5166666666666666
Angola,-8.833333333333334,13.233333333333333
Anguilla,18.216666666666665,-63.05
Antigua and Barbuda,17.116666666666667,-61.85
Argentina,-34.6,-58.666666666666664
Armenia,40.166666666666664,44.5
Aruba,12.516666666666667,-70.03333333333333
Australia,-35.28333333333333,149.21666666666667
Austria,48.2,16.366666666666667
Azerbaijan,40.38333333333333,49.86666666666667
The Bahamas,25.083333333333332,-77.35
Bahrain,26.233333333333334,50.56666666666667
Bangladesh,23.716666666666665,90.4
Barbados,13.1,-59.61666666666667
Belarus,53.9,27.566666666666666
Belgium,50.833333333333336,4.333333333333333
Belize,17.25,-88.76666666666667
Benin,6.483333333333333,2.6166666666666667
Bermuda,32.28333333333333,-64.78333333333333
Bhutan,27.483333333333334,89.6
Bolivia,-16.5,-68.15
Bosnia and Herzegovina,43.86666666666667,18.416666666666668
Botswana,-24.75,25.916666666666668
Brazil,-15.783333333333333,-47.916666666666664
British Virgin Islands,18.45,-64.61666666666666
Brunei,4.883333333333333,114.93333333333334
Bulgaria,42.68333333333333,23.316666666666666
Burkina Faso,12.366666666666667,-1.5166666666666666
Burma,16.8,96.15
Burundi,-3.3666666666666667,29.35
Cambodia,11.55,104.91666666666667
Cameroon,3.8666666666666667,11.516666666666667
Canada,45.416666666666664,-75.7
Cape Verde,14.916666666666666,-23.516666666666666
Cayman Islands,19.3,-81.38333333333334
Central African Republic,4.366666666666666,18.583333333333332
Chad,12.1,15.033333333333333
Chile,-33.45,-70.66666666666667
China,39.916666666666664,116.38333333333334
Christmas Island,-10.416666666666666,105.71666666666667
Cocos Islands,-12.166666666666666,96.83333333333333
Colombia,4.6,-74.08333333333333
Comoros,-11.7,43.233333333333334
Democractic Republic of the Congo,-4.316666666666666,15.3
Cook Islands,-21.2,-159.76666666666668
Costa Rica,9.933333333333334,-84.08333333333333
Croatia,45.8,16.0
Cuba,23.116666666666667,-82.35
Cyprus,35.166666666666664,33.36666666666667
Czech Republic,50.083333333333336,14.466666666666667
Ivory Coast,6.816666666666666,-5.283333333333333
Denmark,55.666666666666664,12.583333333333334
Dhekelia,34.666666666666664,32.85
Djibouti,11.583333333333334,43.15
Dominica,15.3,-61.4
Dominican Republic,18.466666666666665,-69.9
East Timor,-8.583333333333334,125.6
Ecuador,-0.21666666666666667,-78.5
Egypt,30.05,31.25
El Salvador,13.7,-89.2
